iter	Passed	Remaining
633	4747	2740
634	4755	2733
635	4762	2725
636	4770	2718
637	4777	2710
638	4784	2703
639	4792	2695
640	4799	2688
641	4806	2680
642	4813	2672
643	4822	2666
644	4830	2658
645	4839	2651
646	4846	2644
647	4853	2636
648	4861	2629
649	4868	2621
650	4876	2614
651	4883	2606
652	4891	2599
653	4898	2591
654	4908	2585
655	4917	2578
656	4925	2571
657	4934	2564
658	4941	2557
659	4951	2550
660	4959	2543
661	4967	2536
662	4974	2528
663	4982	2521
664	4990	2513
665	4997	2506
666	5004	2498
667	5010	2490
668	5017	2482
669	5025	2475
670	5032	2467
671	5040	2460
672	5048	2453
673	5058	2446
674	5065	2438
675	5073	2431
676	5080	2424
677	5087	2416
678	5095	2408
679	5103	2401
680	5110	2393
681	5117	2386
682	5125	2378
683	5133	2371
684	5140	2363
685	5148	2356
686	5155	2348
687	5161	2340
688	5169	2333
689	5177	2325
690	5185	2318
691	5192	2311
692	5200	2303
693	5207	2296
694	5215	2288
695	5222	2281
696	5230	2273
697	5237	2265
698	5244	2258
699	5251	2250
700	5259	2243
701	5266	2235
702	5273	2227
703	5281	2220
704	5288	2213
705	5295	2205
706	5302	2197
707	5309	2189
708	5315	2181
709	5322	2174
710	5329	2166
711	5337	2158
712	5345	2151
713	5352	2143
714	5359	2136
715	5365	2128
716	5373	2120
717	5380	2113
718	5387	2105
719	5394	2097
720	5401	2090
721	5408	2082
722	5415	2074
723	5421	2066
724	5428	2059
725	5435	2051
726	5442	2043
727	5449	2036
728	5456	2028
729	5464	2021
730	5471	2013
731	5480	2006
732	5488	1999
733	5496	1991
734	5504	1984
735	5511	1976
736	5518	1969
737	5524	1961
738	5531	1953
739	5539	1946
740	5547	1938
741	5554	1931
742	5562	1924
743	5570	1916
744	5577	1909
745	5585	1901
746	5594	1894
747	5603	1887
748	5611	1880
749	5620	1873
750	5627	1865
751	5636	1858
752	5644	1851
753	5652	1844
754	5659	1836
755	5667	1829
756	5674	1821
757	5682	1814
758	5690	1806
759	5697	1799
760	5706	1792
761	5716	1785
762	5727	1778
763	5738	1772
764	5747	1765
765	5756	1758
766	5764	1751
767	5772	1743
768	5781	1736
769	5788	1728
770	5795	1721
771	5802	1713
772	5810	1706
773	5816	1698
774	5823	1690
775	5830	1682
776	5837	1675
777	5844	1667
778	5851	1660
779	5857	1652
780	5864	1644
781	5871	1636
782	5878	1629
783	5884	1621
784	5891	1613
785	5898	1605
786	5905	1598
787	5912	1590
